Tag name,Description,Variable name,Cluster,Years used,Tier,2019 equivalent,Note,Variable changed?
blended learning,"Students learn both online and in-person, in which both learning enviroments are connected to provide an integrated learning experience, and with some element of student control over the time, place, path, or pace of learning.",blended_learning,,"2019 (spring),2020 (early fall)",Tier 1,blended_learning,,
competency/mastery-based education,"The school's model is designed to ensure students are becoming proficient by advancing on demonstrated mastery. May include a deliberate focus on student agency, transparent learning expectations, timely/differentiated supports, varied pacing and pathways, meaningful and formative assessment.",competency_education,,"2019 (spring),2020 (early fall)",Tier 1,competency_education,,
designing for equity,"The school designs for and with historically marginalized students, with the goal of improving experiences, supports, and outcomes for these students, who may include: students with learning differences, students in foster care, students in the justice system, students with low academic performance, students from historically disenfranchised racial and cultural groups.",design_equity,,"2019 (spring),2020 (early fall)",Tier 1,equity,,checked
expanded measures of success,"The school defines student success beyond traditional measures such as GPA, and assesses students along the expanded definition of success. (May include career readiness, social-emotional skills, purpose and agency, etc.)",expanded_success,,"2019 (spring),2020 (early fall)",Tier 1,redefining_success,,checked
culture of anti-racist action,The school is building a culture of taking direct action to counter and dismantle policies and practices that create or perpetuate inequality between racial groups.,anti_racist_action,,2020 (early fall),Tier 1,,,
project-based learning,"Students learn through answering complex questions or solving for real-world problems. Also called problem-based learning, inquiry-based learning, or learning-by-doing.",pbl,,"2019 (spring),2020 (early fall)",Tier 1,pbl,,
social-emotional learning,"The school has a comprehensive strategy to support students' social and emotional development (e.g. self-management, social awareness, relationship skills, etc), which manifests across curriculum, school culture, classroom management, discipline, and behavior expectations.",sel,,"2019 (spring),2020 (early fall)",Tier 1,sel,,
dialogue circles,"Dialogue circles are gatherings in which all participants sit in a circle facing each other to facilitate open, direct communication. They provide a safe, supportive space where all school community members can talk about sensitive topics, work through differences, and build consensus. ",circles,Cluster A,"2019 (spring),2020 (early fall)",Tier 2,circles,,
family and community support services,"The school offers (or partners to offer) social and wraparound support services to families and the community at large, e.g. through adult learning, childcare, family counseling, financial advising.",community_supports,Cluster A,"2019 (spring),2020 (early fall)",Tier 2,community_support,,checked
practice of culturally relevant pedagogy,Pedagogy and curriculum are continually adapted to be relevant to the cultural environment and background of students attending the school.,culturally_relevant,Cluster A,"2019 (spring),2020 (early fall)",Tier 2,culturally_relevant,,
culture of restorative practice,Restorative practices are used to resolve conflict and strengthen relationships among individuals and within communities. (In contrast to reacting to harmful or hurtful behavior with punishment or suspension.),restorative_practice,Cluster A,"2019 (spring),2020 (early fall)",Tier 2,restorative_practice,,
SEL integrated across academics,The school integrates social and emotional learning throughout the academic curriculum (in contrast to a stand-alone SEL curriculum).,sel_integrated,Cluster A,"2019 (spring),2020 (early fall)",Tier 2,sel_integrated,,
stand-alone SEL curriculum,The school has adopted a formal classroom curriculum for social and emotional learning outside of academic subjects.,sel_curriculum,Cluster A,"2019 (spring),2020 (early fall)",Tier 2,sel_curriculum,,
