school_id	Add to HS pool?
3	NA
8	NA
11	NA
15	NA
23	NA
24	NA
28	NA
32	NA
35	NA
38	NA
39	Yes
44	NA
47	NA
49	Yes
52	NA
63	NA
64	NA
67	Yes
69	NA
70	NA
71	NA
72	NA
75	NA
76	NA
79	NA
80	NA
83	NA
85	NA
94	NA
98	NA
100	NA
102	NA
105	NA
109	NA
112	NA
117	NA
122	NA
130	NA
134	NA
139	NA
142	NA
144	NA
146	NA
150	Yes
165	Yes
172	Yes
174	NA
180	NA
183	NA
185	NA
189	Yes
190	NA
192	NA
196	NA
197	Yes
199	NA
208	NA
209	NA
211	NA
213	NA
216	NA
218	NA
220	Yes
221	NA
229	Yes
230	NA
231	NA
233	NA
234	NA
235	NA
236	NA
237	NA
238	NA
241	NA
243	NA
247	Yes
249	NA
252	NA
253	NA
259	NA
260	NA
266	NA
268	NA
269	NA
270	NA
272	NA
275	NA
276	Yes
280	NA
283	NA
284	NA
287	NA
289	NA
291	NA
292	NA
293	Yes
296	NA
297	NA
299	NA
300	NA
301	NA
302	NA
303	NA
307	NA
308	NA
311	NA
312	NA
313	NA
316	NA
317	NA
319	NA
323	NA
324	NA
325	Yes
327	NA
329	NA
330	NA
331	NA
332	NA
333	NA
334	NA
339	NA
345	NA
346	NA
348	NA
349	Yes
351	NA
353	Yes
355	NA
356	NA
357	NA
358	NA
359	NA
360	NA
362	NA
363	NA
364	NA
365	NA
366	NA
368	NA
369	NA
371	NA
373	NA
379	NA
405	NA
439	NA
198	NA
88	NA
419	NA
420	NA
421	Yes
425	NA
53	NA
426	NA
124	NA
477	NA
445	NA
242	NA
78	NA
21	NA
128	NA
384	NA
383	NA
474	NA
201	NA
458	NA
206	NA
153	NA
10	NA
215	NA
482	NA
481	NA
480	NA
120	NA
397	NA
65	NA
388	NA
294	NA
410	NA
309	NA
240	NA
423	NA
415	NA
424	NA
416	NA
27	NA
452	NA
455	NA
9	NA
97	NA
81	NA
176	NA
431	NA
429	NA
178	NA
483	NA
66	NA
434	NA
380	NA
399	NA
347	NA
41	NA
471	NA
101	NA
400	NA
389	NA
402	NA
395	Yes
194	NA
394	Yes
478	NA
475	NA
1	NA
251	Yes
391	NA
396	NA
443	Yes
382	Yes
472	Yes
408	NA
462	NA
466	NA
156	NA
417	NA
447	NA
48	NA
93	NA
132	NA
430	NA
228	Yes
281	NA
62	Yes
