Variable	MR2	MR1	MR4	MR5	MR6	MR3	Complexity	Uniqueness
projects_primary	0.7566975366394716						1.0977922143061158	0.38634778202939735
exhibitions	0.7149441558076566						1.2520657478540833	0.39338658976562146
service_learning	0.6641875222769993						1.2961661241406757	0.49922639749695186
interdisciplinary	0.6185958921190053						1.4638302429198002	0.43443236238154315
experiential	0.5887042395906463						1.8399593738410343	0.524315978917319
pbl	0.5711288204625619			0.3327892750180913			1.8219494007538464	0.506033751779507
maker	0.5419486917491821						1.6468724712975114	0.645846371745261
design_thinking	0.5362296572249365						1.772909080238792	0.61125485983127
portfolios	0.4980791549485456		0.393950626400426			-0.30825772415138425	3.0108409901689446	0.4189200351741402
real_world	0.49726408712719844						1.7240428089160054	0.6201665988218779
oer	0.4896470095359977					0.3725030666063036	2.2921255670864733	0.6276299825172327
student_projects	0.47382660094008827				0.38884414788576804		2.078775151949087	0.5468788512564664
student_conferences	0.4658929236690478						2.0599167669147858	0.5762755175348291
ways_mastery	0.4401915723953117		0.318418387480648				2.133605090662118	0.6699419789264729
local_global	0.4263209448906497						3.2405651135315523	0.5575563813123092
community_partnerships	0.38986077175778383						2.341871570144234	0.723385085533939
measures_deeper	0.3122443382502612						2.995176393949584	0.7434133773504619
measures_climate		0.7551238327307673					1.294921534122559	0.2671517954166337
measures_sel		0.7551238327307672					1.2949215341225595	0.2671517954166338
sel_plan		0.6608181812507254					1.071647423895466	0.48740546826824327
mental_health		0.5845774892890354					1.7273067268558306	0.4733147202873291
poverty_supports		0.5757486284159504					1.811180300041753	0.4731617906715777
restorative_practice		0.5516051584973839					1.3473588798610407	0.5548134245071912
sel		0.5466729507119582					1.6117310109424339	0.5760944701780863
sel_integrated		0.49164176530118575					1.7409141499306915	0.6114377160979465
hiring_practices		0.46977128829630277	0.3865435116281923				2.256757691582975	0.5287437426295143
reallocation_resources		0.45938753649366787				0.3067896651781067	3.2452295358284178	0.47461872304035524
wraparound	-0.3975979996227641	0.4223858839356327					3.591979938417349	0.5198438385689748
advisories	0.32644009682884256	0.41853773358161805					2.715365758804683	0.6111201477113395
grading_mastery		0.3776409762970528	0.3454367329067928				3.3416559168794966	0.5413513587965376
culturally_relevant		0.3362715594528642					2.9825976278582833	0.6373254562687689
local_focus		0.293931563474082					4.375567676718702	0.6094116945814676
ell_supports		0.2932313573912361					3.2323402933448393	0.7726556389532305
equity_plan							4.191393479199721	0.5764535452989061
advancement_mastery			0.751264223166666				1.1444914567046052	0.4516169253602249
accommodations			0.6209509625860097				1.621311571604513	0.42466607659131106
relevant_learning	0.2942466209650077		0.48221217649912684				2.1944119524514893	0.5772319511440808
adaptive_content			0.47987116413215325				1.4427131508290696	0.6721975293291234
learning_paths			0.4783458472137917		0.37482324572274334		2.9210729104825353	0.4538977516877579
student_pace		-0.4024194716703821	0.47736866172772097		0.36017438164507476		3.5962272554994374	0.43494354557291137
information_formats			0.466486997564784				1.6467655588715504	0.689064448569239
opportunities_mastery			0.46327307137608453				1.9981152119165355	0.6158516131367291
performance_assessment			0.4530834542383207				2.364673977525571	0.6519859782345181
student_goals			0.43880386080290257				2.0924885215229865	0.6782185648423743
assessment_schedule			0.43870530477346864				2.625692260613331	0.5331812146378656
learner_agency			0.3736596439227207				1.5423119550673905	0.783077633843814
udl			0.36968028657956875		0.29636987887300087	-0.33394374176233643	3.380800969369109	0.5888728231764325
competency_framework		0.3071157873492534	0.33904997736578774				3.5151158731849845	0.6895538717232587
learner_profiles			0.30126397589318804				2.2227054403558784	0.779874769116133
rigorous_coursework							3.1914643168589047	0.7675750221661286
quality_materials							3.901288026121461	0.7811267458097169
career_prep				0.724830741302075			1.3815961475548755	0.4048084922361521
measures_college				0.6982569780028076			1.1510613005300327	0.4240995220053104
measures_career				0.616249440491879			1.2169345582741993	0.5487464575515695
graduation_supports				0.5641483321685165			1.494855945073109	0.4955479327057942
outside_credit				0.5251923506036646			1.4032244691810802	0.6305230230829035
mentoring		0.33233560919543204		0.4502650866289802			2.4260949903263307	0.5958683450517439
elimination_tracking				0.44100397113096257			1.3821932351876032	0.6925242721123296
redefining_success				0.4254718246932352		-0.3965716367879824	3.1546686455063453	0.5159974538273098
flex				0.4158722807194447			2.4463270087101034	0.7268654080003558
equity				0.40056236237532744	0.3779799756470738		3.1561378567837526	0.5562538937903715
competency_education				0.3971119227065217			1.470386031772053	0.7824040393089533
measures_purpose			0.39021002845088426	0.39060277046016334			3.683379827078471	0.36778480539587366
student_data							3.2410642784560015	0.8741722480822592
multi_age							4.2514588493801675	0.831752992450977
immigrants_supports					0.6247460934367564		1.7476992556773265	0.46126881672203246
physical_health					0.5698331403388132		1.5015488943851922	0.5208158220133507
flexible_staffing					0.5594982539376121		1.8249749082478468	0.5714656122954052
staffing_infrastructure					0.5586134994613369		1.8956571818497518	0.5759929562265685
open_hours					0.47948610318516094		1.646346743982896	0.7155028221129922
sel_curriculum					0.4528874776102031		1.6307291723854005	0.6748511373704164
community_support					0.44871744009732384		2.6709741435666574	0.5104543267149677
flexible_facilities					0.34508864992177346		2.742505156072557	0.7046485101185855
design_margins					0.33738704138272024		3.9292811350634436	0.6718704350890781
circles					0.32059710401448516		3.2851790114598196	0.6685552977552935
flexible_schedule							3.6074990509934395	0.8664340162289572
station_rotation						0.7185190718184716	1.1310601374138065	0.4618480688435225
integrated_data						0.6192767515636451	1.6391488200786233	0.49917720886509975
data_instruction			0.30803310783778937			0.5822444900081039	2.0666712362537556	0.4730925716488422
individual_rotation						0.5728899239785691	2.01677895676797	0.5447166294042027
real_time_data						0.563574483043367	1.5299817003436782	0.6122263321289754
devices_home						0.4440828956161743	1.9106239126247475	0.7310144515461898
blended_learning						0.4440671911964968	2.2508289946396274	0.7137785897304131
lab_rotation					-0.305583654140429	0.3327042097823963	3.603585850895773	0.718998038416221
makerspace	0.2912830694923943					0.3320406272586834	2.812853940608405	0.7948066191190692
