Variable	MR1	MR4	MR3	MR5	MR6	MR2	Complexity	Uniqueness
community_support	0.8309178330052457						1.1282220384905706	0.34289631669461473
mental_health	0.716125167749054						1.4355798559745048	0.39574316301655854
poverty_supports	0.6083318301129563						1.1861453539230562	0.4907392686693941
physical_health	0.5857674597774076						1.2472146066768899	0.6854247712014665
immigrants_supports	0.5645116226854958						1.8584953088017286	0.5691752894681187
sel_plan	0.5637121739170944						2.1351709998862725	0.3643142867877549
culturally_relevant	0.5604437351865669						1.4656940986455556	0.6035496500181121
open_hours	0.5346393757724308						1.8685088918051105	0.6356121927145635
ell_supports	0.5187317345512034						1.3807322871342456	0.5887943248083058
mentoring	0.5028574870049553						1.6072302429154468	0.6139121481314335
circles	0.4846579079044536	0.3088453132475119					2.599621079607062	0.4629242994538233
graduation_supports	0.4822850406822068						2.440138525252451	0.3702805513541768
equity_plan	0.4486828977821855						2.4982775523057033	0.5234511786941898
career_prep	0.42362576634152527						2.465102451030421	0.6271572988683318
community_partnerships	0.40536305913411924						2.5548687497060567	0.5193697521876193
measures_college	0.40222675657071494						2.5553185543504324	0.5353769826438537
information_formats	0.37164729287448967			0.3199061086400214			3.325982462074559	0.5396431488779231
hiring_practices	0.3588565173666209						3.2809347011223977	0.5420798185025577
advisories	0.3225082592321829						3.758680787419277	0.49127724030562414
accommodations	0.3154783042462776						3.0929187010530357	0.6832456632058066
learner_profiles							3.8079935936072644	0.6674186154480586
outside_credit							2.999749820353459	0.7535512885063809
reallocation_resources							3.564522011575412	0.7760285773659429
a_la_carte							3.4750888958800665	0.9145605944698751
interdisciplinary		0.7039446193852141					1.181932347379701	0.4225760581065109
measures_purpose		0.6114155155030881					1.5955787373181927	0.4485009805003882
projects_primary		0.5759384307564844			0.30124593448300263		1.9596841226985768	0.4872867014394159
local_global		0.535721024868842					1.4676662324980352	0.5172843672688829
student_projects		0.5125602498348311					1.5717376023818952	0.5944347065516049
measures_career		0.48858783616583823					1.591491837283797	0.5824268384665539
design_thinking		0.48057374790772517			0.4060230583642032		2.2106510588336024	0.5247906213549167
real_world		0.46203054968136104					2.0504710235210117	0.4936930730315442
local_focus	0.3659635009267766	0.43186036112422926					2.7954290491720055	0.5172711963471894
rigorous_coursework		0.4275487222950194					2.275752083931531	0.727081424382727
service_learning		0.4246909229886314					2.055371037507956	0.5980347165826272
adaptive_content		0.40714979010479124					2.2835065940411416	0.7096491726511248
relevant_learning		0.38047203591419343					3.257916428276524	0.5175014161645834
student_conferences		0.3743122266405407					2.383852386924239	0.6309876590146489
performance_assessment							4.445444664418952	0.48859791461425073
measures_deeper							4.403103926485817	0.5307355743731279
learner_agency			0.824132803379598				1.072387852668507	0.287497094680387
sel			0.7548195363537716				1.2492306146203656	0.3291109133200517
redefining_success			0.729991780120576				1.1901537406789766	0.4055905797873456
equity			0.5903664205166201				1.592771534019853	0.6343713723662268
pbl			0.5471948177913141				1.7807502011792153	0.44758607197877487
competency_education			0.5030647734221777			0.4000951409876823	2.8342327722631175	0.4411260734304011
staffing_infrastructure			0.4826944451258405				1.6910760919709384	0.6465086010979645
experiential			0.41049191921855965				2.220568839107979	0.661447306048643
elimination_tracking			0.3996656135341675				2.185505823852368	0.6291535909705315
maker			0.37782860521679484				3.2767149546439467	0.7080416197346804
udl							2.1766587812438103	0.8656724021843711
student_goals							4.096294710774875	0.5457929363141764
real_time_data				0.6613004333344016			1.071643829883338	0.5306827816840853
integrated_data				0.582038591614221			1.6596702338554856	0.6021168091582846
station_rotation				0.5506269619093709			1.8376691638384928	0.6000898084182491
blended_learning				0.5381341864400855			1.9763783378792614	0.6572643741481192
flex				0.5333761192693547			1.16623987520976	0.7196705435056865
student_pace				0.5184535158758102			1.4200578523091159	0.5802045939991136
student_data	0.3342080503777646			0.46207753531582346			2.152107422181682	0.5508620017742762
lab_rotation				0.4152986943365193			2.626604718495575	0.6921633229376355
individual_rotation				0.4110578497420032			1.4466053388504705	0.8031711647251488
learning_paths				0.3682332397673672			3.1019086444996318	0.5805572813786755
data_instruction				0.35350432602593684			1.9599232269091718	0.7507818941839228
flipped_classroom							4.341025086594856	0.7815479853772762
quality_materials							2.609457865489132	0.9638833397068864
measures_climate					0.5689221804732638		1.4244003665202556	0.4988453028444062
makerspace					0.5661131781579832		1.61479562790398	0.6221062376440509
flexible_staffing					0.5311265494304556		1.538961102574056	0.5699096614435195
measures_sel					0.5168441349793743		1.721627707467501	0.4976243168633384
devices_home				0.3827213958134873	0.48020616202348554		2.4971583492376808	0.5662639219962157
sel_curriculum					0.4705707343729577		2.606699648334863	0.6255760479829011
oer				0.3087160375020493	0.40807422244164904		2.7116411448313156	0.6683638564299439
sel_integrated	0.3651167879352482				0.40714527446937854		2.3441761343074807	0.5559796675512364
flexible_facilities		0.3307809714391007			0.369273312693267		3.17511717560154	0.5937504138493775
flexible_schedule				0.32232108158460915	0.3490341167079054	0.30989774363773015	3.599351024644164	0.5501870476352531
restorative_practice			0.3054168902394149		0.31861455598271105		3.602127434382413	0.5306278550251025
competency_framework						0.7066372993209211	1.1172375373106802	0.4742855986230805
grading_mastery						0.5754560029884354	1.4543936486848836	0.524106337797567
advancement_mastery					-0.3445106754323768	0.45432510742890314	3.033945441402659	0.5659358518745747
portfolios		0.4311307552575386				0.44593608906426413	2.3056126464507223	0.4514142042380608
opportunities_mastery						0.4406016071961062	2.2357642164202502	0.5418478478011748
exhibitions		0.3228139303313654				0.4384631823748856	2.6025003190137346	0.4965883135500745
multi_age					0.37705418134442903	0.3941974837677899	3.166419924560698	0.5767958035944787
wraparound	0.3027504186867697		0.33515422278559887	-0.32977360111564347		-0.36323621600390066	3.9902096354542915	0.5944908227533603
ways_mastery						0.3367010268802212	3.333942289880297	0.6041414601116338
assessment_schedule		0.30111598402675427				0.3271230850923657	3.4878831461042203	0.5864592672366573
design_margins							3.648159601998035	0.8476405120948931
enriched_virtual							3.5157234288917403	0.9035959498001501
