Variable	MR3	MR1	MR5	MR4	MR2	Complexity	Uniqueness
circles	0.6746951319536467	0.1532354531551266	-0.06148154748479337	-0.12973837900585877	-0.0503813639239276	1.210374277526538	0.5219784201837099
community_support	0.5865341581925472	-0.03710056161787144	0.2730288318091188	-0.19711431516404548	0.14560225089773415	1.8304525046331155	0.5132617695359112
poverty_supports	0.5863622826464207	-0.12346824665020117	0.16332481634919693	0.12451156141113792	0.14405365514070329	1.4861311197034055	0.5204258921061687
culturally_relevant	0.5857046447260046	0.114127271721912	0.04506333119953822	-0.06651433458127774	2.75447000535535e-4	1.1149619645698625	0.609729880002396
wraparound	0.5833246895822425	-0.2718192420568179	0.012785626383460494	0.043243295920501815	-0.20780545747209114	1.7140898943909386	0.6467588591971944
restorative_practice	0.5567947319063007	0.13616082667116453	-0.002973824448909916	0.08110874768169132	-0.07239988482473941	1.2003355038333803	0.6011266454066486
sel_plan	0.5536036608630212	0.043557647476862096	-0.00927055211323373	0.16725569457597936	0.10034849568689065	1.266302188533399	0.5815784603914277
sel_integrated	0.5396048657255751	0.1702888466242492	-0.022185377992945406	0.014213291416596264	-0.015075695561964426	1.2041227849841627	0.6334850663007128
sel	0.5159710804427358	0.1151172783189762	-0.2429276681706687	0.2804025334167171	-0.2505142589798336	2.7202143596634305	0.529842891451823
immigrants_supports	0.5132177806518744	-0.12035259429069087	0.18702580456032145	0.042879992374833704	0.011907108981828299	1.3997837719251256	0.6714634185350212
mental_health	0.512288759744065	-0.005713621907254579	0.23051786952918213	-0.03900207021976626	0.06290951092669905	1.4375889902979277	0.6283290274358717
measures_sel	0.5016262470766872	0.2696600055978765	-0.13189130664565574	0.07207428586257733	0.11409237617573105	1.8749442117991733	0.5839971020151734
measures_climate	0.4546632239527156	0.26450013071720097	-0.05502107150294193	-0.008700108980511143	0.1311705827601239	1.8401324404904247	0.6486509818050804
ell_supports	0.4540797116372218	-0.011217326149319012	0.12902168346749518	-0.03981787365538979	0.27007661201702593	1.8393688204807424	0.6554155020604517
reallocation_resources	0.43032635637056327	-0.08199320915129554	0.02116297108401574	0.19399274777917053	0.16288177076382515	1.8048454140821002	0.7063093882577021
equity_plan	0.41419208004832336	0.12408203858607775	0.12620514940183805	0.16609481326091355	0.036034624279140594	1.7505528373193266	0.6478202481107637
physical_health	0.4008845044282893	-0.01772649291788756	0.1244338370152174	-0.09543702594261352	0.14274640064300947	1.597291376087564	0.7832217347396749
hiring_practices	0.39683640472380505	0.025569592389830302	0.20738352649273817	0.17397374148807188	0.21406704771333265	2.590791071566156	0.5903004141903134
sel_curriculum	0.38122584695450923	0.1462227819801546	-0.13403947249048948	-0.005421985459541208	0.026842418393911577	1.5699140303355101	0.8189551524841313
equity	0.3375928070834614	-0.21462190477220278	-0.08265760425438082	0.31468018695897204	-0.2702107144068236	3.791306550840867	0.7230976525385301
open_hours	0.3218639092419022	0.05223845360638587	0.19698455896101058	-0.08310139081174485	0.08599557016857251	2.058494613358022	0.8091416793917336
measures_purpose	0.28199418986757396	0.20940869764547043	0.07080437452268165	0.27710867876213763	0.038229770399380095	3.0132349401346685	0.6621495578173775
design_margins	0.24392149367253138	-0.08015513404973641	0.1356549071283773	0.158096756924282	-0.08945118467887626	2.9865990376633076	0.8699770022139063
projects_primary	-0.03355469601768417	0.6828433951349546	-0.02540799041193606	0.0438927682765958	-0.04396444506743648	1.0242556450747355	0.5349942944513117
interdisciplinary	0.03851901878424566	0.64563591775666	-0.015861497974634653	0.10417440501111595	0.056418463033695576	1.0762916850738595	0.5223517109193906
local_global	0.2268290424147277	0.6342594692810377	0.021011442281505435	-0.18034873663368572	-0.07431381420985408	1.4633560906252245	0.5041186827213476
design_thinking	-0.00244136497462948	0.6143981380757985	-0.04733864217491088	-0.015862515625294366	0.23253895539740962	1.2955645878647515	0.5893222959730611
service_learning	2.3755917463392064e-4	0.5906384535604952	0.14073213632437045	-0.09320056362232895	0.10785637088476777	1.2371379102401605	0.5978513139382526
exhibitions	0.0572213032284233	0.5322763339110537	0.0733357467734093	0.1954679887254737	-0.15058977624815742	1.513158270166989	0.5482901076183411
real_world	0.05763373578810876	0.5201505384490278	0.10183724241902514	0.1694572639318464	-0.02648585341422842	1.3269562523897647	0.5808811929831676
student_projects	0.010412471601170602	0.488802680725027	0.16543145600089937	0.0644946784265254	0.03099629563340554	1.2743404936314637	0.6575889742158795
pbl	-0.03429669591468887	0.4877345613625582	0.11379434491606513	0.23826318211627698	-0.2384002291809227	2.114716235668653	0.5558242844286678
portfolios	-0.034449541864865145	0.48588893914805115	-0.08347368053158122	0.4067873828367675	0.0250632625587235	2.0245769517202783	0.538620263456453
maker	0.07401834538517177	0.4339156241314248	0.0012980921500052173	0.0607099345064324	-0.05375069998620743	1.1304974698657861	0.7671381895677518
experiential	-0.1882898351163809	0.40522132888676243	0.32669658277418573	0.1312168722405044	-0.3592922221091809	3.622520204507107	0.5266492890714689
local_focus	0.3582160242223284	0.3996240115043045	0.057499670374874357	-0.16351403288624058	0.0011359869935220878	2.3694303922307864	0.6482558538451108
measures_deeper	0.12346998315527265	0.34254425981960074	0.26413314764594154	0.09801688989148606	0.015227981000557854	2.3746500866354037	0.6628207353350228
flexible_facilities	0.14830753064730184	0.3274487804018926	0.0065797915138843255	0.10887325633909188	0.2978272971831599	2.6422292866311503	0.7015954836075685
ways_mastery	-0.03975515969435135	0.3245372650069665	0.2527179001815691	0.284432940548885	0.11036899826742527	3.1835886131235953	0.6185453945114977
student_conferences	0.31672056349896993	0.3192929121661888	-0.16224063574748337	0.18198401847676535	0.02771013498400879	3.0966936009471224	0.6893806378034514
makerspace	-0.02038018131775572	0.31573922319269987	0.06530031800517186	-0.005037239300027576	0.021081464530251948	1.1039117655580009	0.8887874228568133
flexible_staffing	0.20989642353926116	0.30230125756024984	0.19538674969381659	-0.05101325045860984	0.0059433847001272265	2.6424600414373236	0.7547127969976712
relevant_learning	0.14624946176536063	0.2901001352959185	0.13906427064308485	0.25851342992708826	0.177608458585394	3.7266486875125953	0.6318220834619419
oer	0.10292637797464237	0.2551687668458836	0.175631185966349	0.024482080933620035	0.19068653610527062	3.1084607236711923	0.7902221229122781
career_prep	-0.06643938803553362	0.10451664020138565	0.7469148474091474	-0.07621476488818489	-0.039240931504306936	1.0823760438862653	0.4386308958335363
graduation_supports	0.22995489323411247	-0.09838045525321802	0.6222076993862389	0.15254211103490373	0.01519174043655816	1.4605540858296557	0.44699486718772397
measures_college	0.12560741644378076	-0.04161108420519577	0.5993728592549177	0.08193180438156603	0.07992425582651622	1.1745938281389903	0.5508422669648309
outside_credit	-0.037918763000200174	0.13236743689147434	0.5982089135291275	0.017105718663366853	-0.10838228282870477	1.1766407144213733	0.5896011783491287
community_partnerships	0.07623569734561476	0.4419224210097946	0.4476057035010987	-0.12933731733712267	-0.1526857944879147	2.4630633811522005	0.4940453875315427
devices_home	-0.0029628352976721305	-0.028551395849933783	0.4164538271567658	0.020359431511415796	0.18994105723212634	1.4153309397852145	0.775026228197117
multi_age	-0.0072690645398522545	0.1027068359839886	0.41281943728368786	0.1947716418727603	-0.04898786776796063	1.6013215349191718	0.7151407529349629
learning_paths	0.00707692545646019	0.037322624147222226	0.37392264110101797	0.2924645321117867	0.18212337983833438	2.41644749264644	0.6526684560958862
measures_career	0.15716689071241546	0.1919829772558258	0.36097596521248615	-0.07528189903458815	-0.030573184954119578	2.0751751667207716	0.749480454000312
advisories	0.2725776381026029	0.0847928444968414	0.3591577096487121	0.11501917060713941	-0.2228632310671141	3.0070981001997144	0.6441559131823851
elimination_tracking	0.20140485974124295	0.022721524188022826	0.359136542645967	0.2536905773445792	-0.1219149896997204	2.744234837107544	0.6563966651964133
mentoring	0.2879772963603507	0.060947980546886785	0.34476278617464173	-0.040297561965460776	0.09415104271607809	2.211027333745359	0.7160356091483022
a_la_carte	-0.10017182841036025	-0.019960147740722654	0.3184702528255332	0.03897309356602168	0.15954471461244232	1.7461525606818307	0.8670809843987365
information_formats	0.048548721977080836	0.17302497255990024	0.2967893914992693	0.11366166184665363	0.2378141868241529	2.997181886553215	0.7211128938728674
enriched_virtual	-0.07315656036465991	-0.12050152869705191	0.2654073148568077	-0.08161426048544942	0.1616087067394022	2.5559728026276445	0.895478904273636
rigorous_coursework	0.0738611280727559	0.08699160748502882	0.2290491682748187	0.06410562151756659	0.2153589932423411	2.686092165169329	0.8337354310189541
learner_profiles	0.16763804916194414	0.09106262077458496	0.21033063282699727	0.1713503597301978	0.16903853756653445	4.272523787442045	0.7699613015443205
staffing_infrastructure	0.1823355959845505	0.07378654764446932	0.18811853005512447	0.17972401906780539	-0.15334343422900854	4.235533153471347	0.8151630985619884
competency_education	-0.11940493840108185	-0.028772960504025544	0.1053995584881216	0.6326373096258834	-0.12078517650467199	1.2101032132803755	0.5862705099632075
grading_mastery	0.054647748248772554	0.056708949359794925	0.012322527498096869	0.5920471797124156	-0.029107600976075093	1.0413422705611284	0.6053004838981488
learner_agency	0.2135900337153114	0.09703399111704505	-0.18452387958397087	0.5782310657697787	-0.03212068637282209	1.5650775825419232	0.5558942272564349
assessment_schedule	-0.04450234048875091	0.0791553050623501	0.14099003158776924	0.5433104387282023	0.15283357347738663	1.36382964424752	0.5943731761561664
competency_framework	-0.032624299137952104	-7.650554251013089e-4	0.1318577617912735	0.5025954944578975	0.016303473227997335	1.1482241570709404	0.7066527972417334
advancement_mastery	-0.05116431594416443	-0.08858686559295921	0.01874293678747374	0.4853916945726582	0.29707126138230516	1.7675885873196304	0.6832395221094304
opportunities_mastery	5.301130605077564e-4	0.19778741512572917	0.03126869077861871	0.45896439473670914	0.1902469256627815	1.7438589792696269	0.64567289850134435
performance_assessment	0.03714883481853422	0.3036826098706854	0.02036727423049936	0.45715922592441094	0.07325331955837912	1.8212755353943586	0.5924579723473088
redefining_success	0.2521208149304483	-0.01944840896035252	0.10034017068689535	0.3908467424694096	-0.3533442678601792	2.8709364135614766	0.6179318025456788
student_pace	-0.0248505378422104	-0.03393747981554625	0.139246908926197	0.3747823556053023	0.35642789910194733	2.298853786795404	0.6803858918607955
student_goals	0.1489809564782497	0.12518857540674863	0.06121194505241291	0.3686400763267545	0.1317850527742385	1.9454000472885005	0.7144137163305688
flexible_schedule	0.0998880266344129	0.07876060269032888	0.23609731662748956	0.25979098922959176	0.06078173548483251	2.6209685593863585	0.7731019113394639
udl	0.052419902641109004	0.061347154987308736	0.10603334445208412	0.23875905226224511	-0.2167162636975324	2.6442454740852375	0.8571368981677616
station_rotation	0.13582698235601948	0.07517867690956415	-0.18149966296018938	-0.13703327690366773	0.6504937355559675	1.3765626703493845	0.5320467724052915
real_time_data	0.02737098009998827	-0.08321525929189247	0.015034699306463811	0.12674521942561767	0.603142159833145	1.1334650173892555	0.6044723237771477
data_instruction	0.13324899304470697	0.032990438859282004	-0.010239162237791533	0.039391962192571114	0.5337123097419367	1.1446190774696858	0.673633518938834
individual_rotation	-0.06183392052928284	-0.02074679352595532	0.005542698764010839	0.08587441268880859	0.49376370687386617	1.0966533531819642	0.7495328485745361
lab_rotation	-0.12432986015041862	0.15973015511750477	0.07155425459470735	0.09585533951306838	0.48350523913498267	1.5013569438833922	0.7151730507264441
blended_learning	-0.16002547969048694	-0.11498862844947629	0.007574348694383462	0.14689184955699194	0.4037153525108808	1.7921490986653235	0.7954529350766166
integrated_data	0.12088616526343614	-0.09420596170031524	0.2715979232400594	0.02807526875779564	0.3991174885631192	2.1287068582068724	0.7079898286258322
adaptive_content	0.09604903763666778	0.16906927050380893	0.05692119388258035	0.05965887585270875	0.3548207797675791	1.7330280706235153	0.7889201268041964
flipped_classroom	-0.13481620346317807	-0.013906827778605402	0.19075966642377007	-0.07004302246687494	0.34300636555783937	2.025745203720495	0.8346559320488446
flex	0.052319230028111924	-0.07067470142798002	0.07697506574216131	0.11902303500860736	0.32601026320087634	1.5551867165368058	0.8532795103461288
student_data	0.10186041757678893	-0.07895683383957972	0.24826870815325583	0.22130867809858654	0.29352820717322053	3.30716747540268	0.7334464008677406
accommodations	0.2119185640771502	0.06815619597717945	0.2165592130900931	0.2255387887872109	0.26074703303753877	4.049493324175496	0.6625464802332868
quality_materials	0.14811628995679046	0.039224991652800925	0.08398895743633594	0.0804570378931726	0.1928487928060439	2.8108254513384385	0.8929780879289899
