Variable	MR3	MR1	MR5	MR4	MR2	Complexity	Uniqueness
circles	0.6746951319536467					1.210374277526538	0.5219784201837099
community_support	0.5865341581925472					1.8304525046331155	0.5132617695359112
poverty_supports	0.5863622826464207					1.4861311197034055	0.5204258921061687
culturally_relevant	0.5857046447260046					1.1149619645698625	0.609729880002396
wraparound	0.5833246895822425					1.7140898943909386	0.6467588591971944
restorative_practice	0.5567947319063007					1.2003355038333803	0.6011266454066486
sel_plan	0.5536036608630212					1.266302188533399	0.5815784603914277
sel_integrated	0.5396048657255751					1.2041227849841627	0.6334850663007128
sel	0.5159710804427358					2.7202143596634305	0.529842891451823
immigrants_supports	0.5132177806518744					1.3997837719251256	0.6714634185350212
mental_health	0.512288759744065					1.4375889902979277	0.6283290274358717
measures_sel	0.5016262470766872					1.8749442117991733	0.5839971020151734
measures_climate	0.4546632239527156					1.8401324404904247	0.6486509818050804
ell_supports	0.4540797116372218					1.8393688204807424	0.6554155020604517
reallocation_resources	0.43032635637056327					1.8048454140821002	0.7063093882577021
equity_plan	0.41419208004832336					1.7505528373193266	0.6478202481107637
physical_health	0.4008845044282893					1.597291376087564	0.7832217347396749
hiring_practices	0.39683640472380505					2.590791071566156	0.5903004141903134
sel_curriculum	0.38122584695450923					1.5699140303355101	0.8189551524841313
equity	0.3375928070834614					3.791306550840867	0.7230976525385301
open_hours	0.3218639092419022					2.058494613358022	0.8091416793917336
measures_purpose	0.28199418986757396					3.0132349401346685	0.6621495578173775
design_margins	0.24392149367253138					2.9865990376633076	0.8699770022139063
projects_primary		0.6828433951349546				1.0242556450747355	0.5349942944513117
interdisciplinary		0.64563591775666				1.0762916850738595	0.5223517109193906
local_global		0.6342594692810377				1.4633560906252245	0.5041186827213476
design_thinking		0.6143981380757985				1.2955645878647515	0.5893222959730611
service_learning		0.5906384535604952				1.2371379102401605	0.5978513139382526
exhibitions		0.5322763339110537				1.513158270166989	0.5482901076183411
real_world		0.5201505384490278				1.3269562523897647	0.5808811929831676
student_projects		0.488802680725027				1.2743404936314637	0.6575889742158795
pbl		0.4877345613625582				2.114716235668653	0.5558242844286678
portfolios		0.48588893914805115				2.0245769517202783	0.538620263456453
maker		0.4339156241314248				1.1304974698657861	0.7671381895677518
experiential		0.40522132888676243				3.622520204507107	0.5266492890714689
local_focus		0.3996240115043045				2.3694303922307864	0.6482558538451108
measures_deeper		0.34254425981960074				2.3746500866354037	0.6628207353350228
flexible_facilities		0.3274487804018926				2.6422292866311503	0.7015954836075685
ways_mastery		0.3245372650069665				3.1835886131235953	0.6185453945114977
student_conferences		0.3192929121661888				3.0966936009471224	0.6893806378034514
makerspace		0.31573922319269987				1.1039117655580009	0.8887874228568133
flexible_staffing		0.30230125756024984				2.6424600414373236	0.7547127969976712
relevant_learning		0.2901001352959185				3.7266486875125953	0.6318220834619419
oer		0.2551687668458836				3.1084607236711923	0.7902221229122781
career_prep			0.7469148474091474			1.0823760438862653	0.4386308958335363
graduation_supports			0.6222076993862389			1.4605540858296557	0.44699486718772397
measures_college			0.5993728592549177			1.1745938281389903	0.5508422669648309
outside_credit			0.5982089135291275			1.1766407144213733	0.5896011783491287
community_partnerships			0.4476057035010987			2.4630633811522005	0.4940453875315427
devices_home			0.4164538271567658			1.4153309397852145	0.775026228197117
multi_age			0.41281943728368786			1.6013215349191718	0.7151407529349629
learning_paths			0.37392264110101797			2.41644749264644	0.6526684560958862
measures_career			0.36097596521248615			2.0751751667207716	0.749480454000312
advisories			0.3591577096487121			3.0070981001997144	0.6441559131823851
elimination_tracking			0.359136542645967			2.744234837107544	0.6563966651964133
mentoring			0.34476278617464173			2.211027333745359	0.7160356091483022
a_la_carte			0.3184702528255332			1.7461525606818307	0.8670809843987365
information_formats			0.2967893914992693			2.997181886553215	0.7211128938728674
enriched_virtual			0.2654073148568077			2.5559728026276445	0.895478904273636
rigorous_coursework			0.2290491682748187			2.686092165169329	0.8337354310189541
learner_profiles			0.21033063282699727			4.272523787442045	0.7699613015443205
staffing_infrastructure			0.18811853005512447			4.235533153471347	0.8151630985619884
competency_education				0.6326373096258834		1.2101032132803755	0.5862705099632075
grading_mastery				0.5920471797124156		1.0413422705611284	0.6053004838981488
learner_agency				0.5782310657697787		1.5650775825419232	0.5558942272564349
assessment_schedule				0.5433104387282023		1.36382964424752	0.5943731761561664
competency_framework				0.5025954944578975		1.1482241570709404	0.7066527972417334
advancement_mastery				0.4853916945726582		1.7675885873196304	0.6832395221094304
opportunities_mastery				0.45896439473670914		1.7438589792696269	0.64567289850134435
performance_assessment				0.45715922592441094		1.8212755353943586	0.5924579723473088
redefining_success				0.3908467424694096		2.8709364135614766	0.6179318025456788
student_pace				0.3747823556053023		2.298853786795404	0.6803858918607955
student_goals				0.3686400763267545		1.9454000472885005	0.7144137163305688
flexible_schedule				0.25979098922959176		2.6209685593863585	0.7731019113394639
udl				0.23875905226224511		2.6442454740852375	0.8571368981677616
station_rotation					0.6504937355559675	1.3765626703493845	0.5320467724052915
real_time_data					0.603142159833145	1.1334650173892555	0.6044723237771477
data_instruction					0.5337123097419367	1.1446190774696858	0.673633518938834
individual_rotation					0.49376370687386617	1.0966533531819642	0.7495328485745361
lab_rotation					0.48350523913498267	1.5013569438833922	0.7151730507264441
blended_learning					0.4037153525108808	1.7921490986653235	0.7954529350766166
integrated_data					0.3991174885631192	2.1287068582068724	0.7079898286258322
adaptive_content					0.3548207797675791	1.7330280706235153	0.7889201268041964
flipped_classroom					0.34300636555783937	2.025745203720495	0.8346559320488446
flex					0.32601026320087634	1.5551867165368058	0.8532795103461288
student_data					0.29352820717322053	3.30716747540268	0.7334464008677406
accommodations					0.26074703303753877	4.049493324175496	0.6625464802332868
quality_materials					0.1928487928060439	2.8108254513384385	0.8929780879289899
